,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
28,2019-03-27,35.5000,35.8100,34.8600,35.0200,34.7776,2613210,0.0000,1.0000
29,2019-03-26,35.5400,36.0800,35.3100,35.6600,35.4132,2763498,0.0000,1.0000
30,2019-03-25,34.7700,35.1000,34.2400,34.9200,34.6783,3352594,0.0000,1.0000
31,2019-03-22,35.7300,35.8600,34.5300,34.8200,34.5790,4100899,0.0000,1.0000
32,2019-03-21,35.1200,36.1750,34.9800,36.0800,35.8303,3700595,0.0000,1.0000
33,2019-03-20,34.3600,35.7500,34.3600,35.2900,35.0457,4329478,0.0000,1.0000
34,2019-03-19,35.2500,35.4500,34.3300,34.4900,34.2513,2768316,0.0000,1.0000
35,2019-03-18,34.6100,35.1200,34.5000,35.0100,34.7677,2894019,0.0000,1.0000
36,2019-03-15,33.8400,34.5200,33.8400,34.4500,34.2116,5013860,0.0000,1.0000
37,2019-03-14,34.3200,34.6000,34.1300,34.2700,34.0328,3143081,0.0000,1.0000
38,2019-03-13,34.0200,34.3600,33.6700,34.3200,34.0825,3730247,0.0000,1.0000
39,2019-03-12,32.9700,33.7400,32.7300,33.6800,33.4469,5924649,0.0000,1.0000
40,2019-03-11,32.2600,33.1000,32.1400,32.7500,32.5233,4673770,0.0000,1.0000
41,2019-03-08,32.6100,32.6100,31.5200,31.9500,31.7289,5241090,0.0000,1.0000
42,2019-03-07,32.8100,33.3200,32.2500,33.2700,33.0397,4280421,0.0000,1.0000
43,2019-03-06,33.4200,33.4200,32.5600,32.7300,32.5035,3253441,0.0000,1.0000
44,2019-03-05,33.6200,33.8400,33.0600,33.7300,33.4965,3007721,0.0000,1.0000
45,2019-03-04,34.2300,34.3300,33.1300,33.6700,33.4370,4202466,0.0000,1.0000
46,2019-03-01,33.4300,34.0200,33.2300,33.9900,33.7547,4771289,0.0000,1.0000
47,2019-02-28,33.8100,34.1800,32.0800,33.1800,32.9503,7677586,0.0000,1.0000
48,2019-02-27,33.3000,34.0900,33.0200,33.5600,33.3277,5274525,0.0000,1.0000
49,2019-02-26,33.3900,33.7200,33.0400,33.0900,32.8610,2791913,0.0000,1.0000
50,2019-02-25,33.2800,33.8300,33.2600,33.4600,33.2284,3223627,0.0000,1.0000
51,2019-02-22,33.5700,33.6000,32.8300,33.4700,33.2383,7531757,0.0000,1.0000
